Designator,Mid X,Mid Y,Rotation,Layer
A1,106.299,-77.47,180.0,bottom
C1,103.211,-72.136,180.0,top
C2,170.053,-54.483,90.0,top
C3,151.13,-108.585,90.0,top
C4,108.712,-97.79,0.0,top
D1,93.975,-64.77,270.0,top
H1,170.18,-44.45,0.0,bottom
H2,170.18,-135.89,0.0,bottom
H3,78.74,-135.89,0.0,bottom
H4,78.74,-44.45,0.0,bottom
J1,107.965,-134.62,270.0,top
J2,153.685,-134.62,270.0,top
J3,130.825,-134.62,270.0,top
J4,134.635,-107.163,270.0,top
J5,153.655,-50.571,90.0,top
J6,153.655,-59.461,90.0,top
J7,91.455,-134.595,270.0,top
J8,117.078999,-87.655,90.0,top
R2,110.49,-58.547,0.0,top
RN1,135.875,-110.998,180.0,top
RN2,152.415,-44.196,0.0,top
RN3,152.415,-54.102,0.0,top
RN4,115.839,-84.074,0.0,top
U1,149.86,-90.429,270.0,top
U10,142.245,-70.846,270.0,top
U11,134.615,-121.915,90.0,top
U2,149.86,-90.15,270.0,top
U4,94.219,-80.513,180.0,top
U5,94.219,-101.976,180.0,top
